URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/CodeSystem/bfarm/ops,null,active,,OPS,OPS,"OPS Platzhalter-CodeSystem","ValueSet/mii-vs-prozedur-ops"
http://hl7.org/fhir/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.4.1084",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","ValueSet/device-nametype"
http://hl7.org/fhir/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.210",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","ValueSet/device-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/metric-calibration-state,4.0.1,draft,"2.16.840.1.113883.4.642.4.653",DeviceMetricCalibrationState,DeviceMetricCalibrationState,"Describes the state of a metric calibration.","ValueSet/metric-calibration-state"
http://hl7.org/fhir/metric-calibration-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.651",DeviceMetricCalibrationType,DeviceMetricCalibrationType,"Describes the type of a metric calibration.","ValueSet/metric-calibration-type"
http://hl7.org/fhir/metric-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.649",DeviceMetricCategory,DeviceMetricCategory,"Describes the category of the metric.","ValueSet/metric-category"
http://hl7.org/fhir/metric-color,4.0.1,draft,"2.16.840.1.113883.4.642.4.655",DeviceMetricColor,DeviceMetricColor,"Describes the typical color of representation.","ValueSet/metric-color"
http://hl7.org/fhir/metric-operational-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.647",DeviceMetricOperationalStatus,DeviceMetricOperationalStatus,"Describes the operational status of the DeviceMetric.","ValueSet/metric-operational-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/udi-entry-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.212",UDIEntryType,UDIEntryType,"Codes to identify how UDI data was entered.","ValueSet/udi-entry-type"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/mii-vs-icu-score-loinc,ValueSet/mii-vs-icu-score-rass,ValueSet/mii-vs-icu-component-gcs-eyes,ValueSet/mii-vs-icu-code-observation-beatmung-loinc,ValueSet/mii-vs-icu-code-oservation-pupillenform-loinc,ValueSet/mii-vs-icu-component-gcs-verbal,ValueSet/mii-vs-icu-component-gcs-motor,ValueSet/observation-codes,ValueSet/mii-vs-icu-code-monitoring-und-vitaldaten-loinc,ValueSet/mii-vs-icu-code-observation-pupillenlichtreaktion,ValueSet/mii-vs-icu-code-observation-extrakorporale-verfahren-loinc,ValueSet/mii-vs-icu-code-observation-bilanzen-loinc,ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-loinc"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/mii-vs-icu-score-snomed,ValueSet/device-type,ValueSet/mii-vs-icu-body-site-observation-blutdruck,ValueSet/mii-vs-icu-body-site-observation-beatmung,ValueSet/mii-vs-icu-delirium-interpretation,ValueSet/mii-vs-icu-code-observation-pupillensymmetrie,ValueSet/procedure-followup,ValueSet/mii-vs-prozedur-opskategorien-snomedct,ValueSet/mii-vs-icu-code-observation-pupillengroesse,ValueSet/device-action,ValueSet/mii-vs-icu-code-observation-beatmung-snomed,ValueSet/mii-vs-icu-method-observation-blutdruck,ValueSet/mii-vs-icu-body-site-observation-extrakorporale-verfahren,ValueSet/mii-vs-icu-devicemetric-extrakorporale-verfahren,ValueSet/body-site,ValueSet/mii-vs-icu-cam-icu-result,ValueSet/mii-vs-icu-code-observation-extrakorporale-verfahren-snomed,ValueSet/procedure-code,ValueSet/mii-vs-icu-category-procedure-beatmung-snomed,ValueSet/VitalSignDE-Koerpergroesse-SNOMED-CT,ValueSet/VitalSignDE-Koerpergewicht-SNOMED-CT,ValueSet/device-kind,ValueSet/performer-role,ValueSet/referencerange-appliesto,ValueSet/vs-mii-icu-bodysite-observation-monitoring-und-vitaldaten,ValueSet/mii-vs-icu-code-procedure-beatmung-snomed,ValueSet/mii-vs-icu-bodysite-observation-pupillenbefund,ValueSet/procedure-outcome,ValueSet/procedure-reason,ValueSet/procedure-category,ValueSet/mii-vs-icu-score-category,ValueSet/VitalSignDE-Atemfrequenz-SNOMED-CT,ValueSet/condition-code,ValueSet/mii-vs-icu-code-extrakorporale-verfahren,ValueSet/vs-mii-icu-code-monitoring-und-vitaldaten-snomed,ValueSet/mii-vs-icu-code-observation-bilanzen-snomed,ValueSet/procedure-not-performed-reason,ValueSet/mii-vs-icu-present-absent,ValueSet/mii-vs-icu-code-monitoring-und-vitaldaten-snomed,ValueSet/observation-methods,ValueSet/VitalSignDE-Kopfumfang-SNOMED-CT,ValueSet/mii-vs-icu-body-site-observation-monitoring-und-vitaldaten"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/data-absent-reason,2.0.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/device-status-reason,3.0.0,active,"2.16.840.1.113883.4.642.1.1082",FHIRDeviceStatusReason,FHIRDeviceStatusReason,"The availability status reason of the device.","ValueSet/device-status-reason"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/mii-vs-icu-category-observation-bilanzen-hl7,ValueSet/observation-category"
